0,0.19,0,1.9,0
0,0.23,0,1.8,0
0,0.19,0,1.8,0
0,0.18,0,1.9,0
0,0.19,0,1.9,0
0,0.18,0,1.9,0
0,0.18,0,1.9,0
0,0.18,0,1.9,0
0,0.19,0,1.8,0
0,0.18,0,1.9,0
0,0.18,0,1.9,0
0,0.19,0,1.9,0
0,0.19,0,1.9,0
0,0.18,0,1.8,0
0,0.19,0,1.8,0
0,0.18,0,1.9,0
0.08,0.18,0.08,1.9,0
0.08,0.19,0.08,1.9,0
0.06,0.19,0.06,1.9,0
0.19,0.19,0.19,1.8,0
1.63,0.19,1.63,1.8,3
1.97,0.18,1.97,1.8,3
1.97,0.18,1.97,1.8,3
1.96,0.18,1.96,1.8,3
1.99,0.18,1.99,1.8,3
3.64,0.15,3.64,1.5,5
3.65,0.15,3.65,1.5,5
3.65,0.15,3.65,1.5,5
3.64,0.15,3.64,1.5,5
3.65,0.15,3.65,1.5,5
3.64,0.15,3.64,1.5,5
3.64,0.15,3.64,1.5,5
3.64,0.15,3.64,1.5,5
3.63,0.15,3.63,1.6,7
3.64,0.15,3.64,1.5,5
3.63,0.16,3.63,1.5,5
1.58,0.18,1.58,1.8,3
0.06,0.18,0.06,1.8,0
0.05,0.19,0.05,1.9,0
0.05,0.18,0.05,1.8,0
0.05,0.18,0.05,1.8,0
1.43,0.19,1.43,1.8,3
3.52,0.15,3.52,1.6,5
3.84,0.14,3.84,1.4,5
3.86,0.14,3.86,1.4,5
4.08,0.12,4.08,1.3,5
4.23,0.11,4.23,1.1,5
4.24,0.1,4.24,1,5
4.26,0.1,4.26,1,5
4.32,0.09,4.32,0.9,3
4.32,0.09,4.32,0.9,3
4.34,0.09,4.34,0.9,3
4.41,0.08,4.41,0.8,3
4.47,0.07,4.47,0.7,3
4.49,0.07,4.49,0.6,3
4.52,0.06,4.52,0.6,3
4.55,0.06,4.55,0.6,3
4.56,0.05,4.56,0.5,2
4.58,0.05,4.58,0.5,2
4.59,0.04,4.59,0.4,2
4.6,0.04,4.6,0.4,2
4.62,0.04,4.62,0.4,2
4.62,0.04,4.62,0.4,2
4.64,0.03,4.64,0.3,2
4.65,0.03,4.65,0.3,2
4.65,0.03,4.65,0.3,2
4.65,0.03,4.65,0.3,2
4.66,0.03,4.66,0.3,2
4.66,0.03,4.66,0.3,2
4.66,0.03,4.66,0.3,2
4.66,0.02,4.66,0.2,2
4.67,0.03,4.67,0.2,2
4.67,0.03,4.67,0.2,2
4.67,0.02,4.67,0.2,2
4.68,0.03,4.68,0.2,2
4.68,0.02,4.68,0.3,2
4.68,0.03,4.68,0.3,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.69,0.02,4.69,0.2,2
4.69,0.02,4.69,0.2,2
4.69,0.02,4.69,0.2,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.68,0.02,4.68,0.2,2
4.67,0.03,4.67,0.2,2
4.66,0.03,4.66,0.2,2
4.66,0.03,4.66,0.2,2
4.65,0.03,4.65,0.3,2
4.61,0.04,4.61,0.4,2
4.56,0.05,4.56,0.5,2
4.47,0.07,4.47,0.7,3
4.17,0.11,4.17,1.1,5
0,0.19,0,1.8,0
0,0.19,0,1.8,0
0,0.18,0,1.8,0
0.07,0.18,0.07,1.9,0
3.03,0.17,3.03,1.7,5
2.98,0.17,2.98,1.7,5
2.98,0.17,2.98,1.7,5
2.96,0.17,2.96,1.7,5
2.95,0.17,2.95,1.7,5
0.07,0.18,0.07,1.8,0
0.07,0.18,0.07,1.9,0
0.06,0.18,0.06,1.8,0
0.06,0.18,0.06,1.8,0
0.49,0.19,0.49,1.8,2
3.36,0.16,3.36,1.6,5
3.7,0.15,3.7,1.5,5
3.82,0.14,3.82,1.4,5
3.8,0.14,3.8,1.4,5
2.93,0.17,2.93,1.7,5
2.91,0.17,2.91,1.7,5
2.92,0.17,2.92,1.7,5
2.9,0.17,2.9,1.7,5
2.91,0.17,2.91,1.6,5
2.9,0.17,2.9,1.7,5
2.69,0.18,2.69,1.8,5
1.08,0.18,1.08,1.8,2
0.87,0.18,0.87,1.9,2
0.06,0.19,0.06,1.8,0
0.05,0.19,0.05,1.8,0
0.43,0.19,0.43,1.8,0
1.48,0.18,1.48,1.8,3
1.68,0.18,1.68,1.9,3
2.2,0.18,2.2,1.8,3
2.92,0.18,2.92,1.7,5
2.91,0.17,2.91,1.7,5
3.53,0.15,3.53,1.6,5
3.8,0.14,3.8,1.4,5
3.82,0.14,3.82,1.4,5
3.88,0.13,3.88,1.4,5
4.05,0.12,4.05,1.2,5
4.18,0.11,4.18,1.1,5
4.24,0.1,4.24,1,5
4.24,0.1,4.24,1,5
3.94,0.14,3.94,1.4,5
3.93,0.14,3.93,1.3,5
3.92,0.13,3.92,1.3,5
3.93,0.13,3.93,1.3,5
3.47,0.15,3.47,1.6,5
3.41,0.16,3.41,1.6,5
3.37,0.16,3.37,1.6,5
1.18,0.18,1.18,1.8,2
1.07,0.18,1.07,1.8,2
0.09,0.18,0.09,1.8,0
0.08,0.18,0.08,1.8,0
0,0.18,0,1.8,0
0,0.18,0,1.8,0
0,0.18,0,1.8,0
0,0.18,0,1.8,0
0,0.18,0,1.8,0
